,,,Sum of DATA YTD Enrolments,,,,,Sum of DATA YTD Commencements,,,,
Year,Month,State,Higher Education,VET,Schools,ELICOS,Non-award,Higher Education,VET,Schools,ELICOS,Non-award
2020,Aug,VIC,"137,778","81,570","7,180","26,467","8,225","40,213","40,171","1,652","14,333","5,257"
2020,Aug,QLD,"52,060","38,136","4,376","18,655","4,208","17,103","17,545","2,379","10,605","2,891"
2020,Aug,SA,"24,506","10,028","2,193","2,975","2,019","8,746","5,071",976,"1,663","1,013"
2020,Aug,WA,"23,580","14,272",730,"5,932","1,388","7,603","7,506",337,"3,521","1,046"
2020,Aug,TAS,"6,406","7,525",298,335,139,"2,022","3,304",175,239,118
2020,Aug,NT,"2,084","1,892",102,209,51,696,"1,116",30,103,33
2020,Aug,ACT,"11,936","3,369",360,366,343,"3,627","1,867",87,266,232
2020,Aug Total,,"405,389","263,251","19,885","90,345","30,592","123,106","123,959","7,711","52,252","18,683"
2020,Sep,NSW,"151,052","109,196","4,649","37,339","14,314","47,109","50,116","2,078","23,455","8,188"
2020,Sep,VIC,"138,533","85,549","7,180","27,407","8,262","40,968","44,150","1,652","15,273","5,294"
2020,Sep,QLD,"52,472","39,710","4,376","19,426","4,234","17,515","19,119","2,379","11,376","2,917"
2020,Sep,SA,"25,041","10,662","2,193","3,068","2,019","9,281","5,705",976,"1,756","1,013"
2020,Sep,WA,"23,700","14,998",733,"6,340","1,390","7,723","8,232",340,"3,929","1,048"
2020,Sep,TAS,"6,422","7,812",298,339,139,"2,038","3,591",175,243,118
2020,Sep,NT,"2,087","1,990",102,215,51,699,"1,214",30,109,33
2020,Sep,ACT,"11,975","3,500",360,371,343,"3,666","1,998",87,271,232
2020,Sep Total,,"411,282","273,417","19,891","94,505","30,752","128,999","134,125","7,717","56,412","18,843"
2020,Oct,NSW,"151,830","116,687","4,684","39,147","14,891","47,887","57,607","2,113","25,263","8,765"
2020,Oct,VIC,"139,478","90,297","7,206","28,760","8,496","41,913","48,898","1,678","16,626","5,528"
2020,Oct,QLD,"52,906","41,874","4,454","20,378","4,457","17,949","21,283","2,457","12,328","3,140"
2020,Oct,SA,"25,181","11,331","2,204","3,263","2,199","9,421","6,374",987,"1,951","1,193"
2020,Oct,WA,"23,931","16,098",751,"6,622","1,421","7,954","9,332",358,"4,211","1,079"
2020,Oct,TAS,"6,431","8,174",299,383,139,"2,047","3,953",176,287,118
2020,Oct,NT,"2,087","2,073",103,223,51,699,"1,297",31,117,33
2020,Oct,ACT,"12,007","3,786",363,404,354,"3,698","2,284",90,304,243
2020,Oct Total,,"413,851","290,320","20,064","99,180","32,008","131,568","151,028","7,890","61,087","20,099"
2020,Nov,NSW,"153,517","120,735","4,688","41,012","15,165","49,574","61,655","2,117","27,128","9,039"
2020,Nov,VIC,"141,213","93,886","7,208","30,012","8,503","43,648","52,487","1,680","17,878","5,535"
2020,Nov,QLD,"53,473","43,611","4,455","21,227","4,475","18,516","23,020","2,458","13,177","3,158"
